,paperId,abstract,authors,citationCount,citationStyles,citations,journal,referenceCount,title,year
0,0008a082e953c180482e38fb7fc40220d598a099,"Social intelligence in robots has a quite recent history in artificial intelligence and robotics. However, it has become increasingly apparent that social and interactive skills are necessary requirements in many application areas and contexts where robots need to interact and collaborate with other robots or humans. Research on human–robot interaction (HRI) poses many challenges regarding the nature of interactivity and ‘social behaviour’ in robot and humans. The first part of this paper addresses dimensions of HRI, discussing requirements on social skills for robots and introducing the conceptual space of HRI studies. In order to illustrate these concepts, two examples of HRI research are presented. First, research is surveyed which investigates the development of a cognitive robot companion. The aim of this work is to develop social rules for robot behaviour (a ‘robotiquette’) that is comfortable and acceptable to humans. Second, robots are discussed as possible educational or therapeutic toys for children with autism. The concept of interactive emergence in human–child interactions is highlighted. Different types of play among children are discussed in the light of their potential investigation in human–robot experiments. The paper concludes by examining different paradigms regarding ‘social relationships’ of robots and people interacting with them.","[{'authorId': '1724361', 'name': 'K. Dautenhahn'}]",981.0,"{'bibtex': '@Article{Dautenhahn2007SociallyIR,\n author = {K. Dautenhahn},\n journal = {Philosophical Transactions of the Royal Society B: Biological Sciences},\n pages = {679 - 704},\n title = {Socially intelligent robots: dimensions of human–robot interaction},\n volume = {362},\n year = {2007}\n}\n'}",,"{'volume': '362', 'pages': '679 - 704', 'name': 'Philosophical Transactions of the Royal Society B: Biological Sciences'}",127.0,Socially intelligent robots: dimensions of human–robot interaction,2007.0
1,001616a2661b20b92387ef40a63bb95ab9883a87,"ABSTRACT Primary objective: Patients with traumatic brain injury (TBI) have difficulty dealing with the social world and may display inappropriate social behavior that negatively affects their social and occupational rehabilitation. This difficulty may be explained by a social problem-solving (SPS) impairment, but little is yet known about the cognitive processes involved in the ability to solve social problems. Several publications have demonstrated that executive functions are related to social problem solving, but the role of social cognition needs to be confirmed. The present pilot study examined the expected relationships between SPS ability and both social cognition and social behavioral skills. Research design: We compared the performances of 15 patients with TBI on SPS, theory-of-mind and social behavior tasks with those of 25 matched healthy controls. Main outcomes and results: Our results showed for the first time that impaired social problem solving is associated with a theory-of-mind deficit, but surprisingly not with executive impairment. There was no evidence that SPS deficits predict social behavioral disorders. Conclusions: Studying social problem solving in patients with TBI may inform the design of more appropriate methods of social rehabilitation.","[{'authorId': '1486122642', 'name': 'Mathilde Saint-Jean'}, {'authorId': '153541817', 'name': 'P. Allain'}, {'authorId': '35312629', 'name': 'Jérémy Besnard'}]",6.0,"{'bibtex': '@Article{Saint-Jean2018ASA,\n author = {Mathilde Saint-Jean and P. Allain and Jérémy Besnard},\n journal = {Brain Injury},\n pages = {40 - 47},\n title = {A sociocognitive approach to social problem solving in patients with traumatic brain injury: a pilot study},\n volume = {33},\n year = {2018}\n}\n'}",,"{'volume': '33', 'pages': '40 - 47', 'name': 'Brain Injury'}",56.0,A sociocognitive approach to social problem solving in patients with traumatic brain injury: a pilot study,2018.0
2,0037e73960b4c9d19b8928c8f82d82ce315d4fe7,"ABSTRACT Social cognition is widely regarded as an essential skill with which to understand the social world. Despite this, the role that social cognition plays in outcome, and whether deficits are remediable after traumatic brain injury (TBI), are not yet well known. The current review examines the construct of social cognition and presents a conceptual biopsychosocial model with which to understand the social cognitive process. This is related to the literature on social cognitive deficits in TBI and we discuss relevant treatment developments to date within this population. We then review social cognition treatment programmes researched in other clinical populations in order to advise and inform approaches for those living with TBI. Whilst treatments have focused on emotion perception skills in the TBI literature, programmes developed for other clinical populations have had broader targets, focusing on Theory of Mind skills and/or modifying interpretational cognitive biases. Moreover, they have largely proven to be efficacious. Programmes that are contextualised, collaborative, and experiential seem optimal in enabling generalisation relevant to individuals’ everyday social lives. We argue that there is therefore scope to improve the evidence-based social cognitive treatment options available for those with TBI, taking into account specific adaptations necessary for this population.","[{'authorId': '10273454', 'name': 'Anneli Cassel'}, {'authorId': '143982280', 'name': 'S. McDonald'}, {'authorId': '8060857', 'name': 'M. Kelly'}, {'authorId': '4720305', 'name': 'L. Togher'}]",62.0,"{'bibtex': '@Article{Cassel2019LearningFT,\n author = {Anneli Cassel and S. McDonald and M. Kelly and L. Togher},\n journal = {Neuropsychological Rehabilitation},\n pages = {22 - 55},\n title = {Learning from the minds of others: A review of social cognition treatments and their relevance to traumatic brain injury},\n volume = {29},\n year = {2019}\n}\n'}",,"{'volume': '29', 'pages': '22 - 55', 'name': 'Neuropsychological Rehabilitation'}",237.0,Learning from the minds of others: A review of social cognition treatments and their relevance to traumatic brain injury,2019.0
3,00398dcea6a23be322066a48317edf74a9a816fd,,"[{'authorId': '2248388724', 'name': 'Karina Blair'}, {'authorId': '2249063022', 'name': 'Bruce W. Smith'}, {'authorId': '2245628705', 'name': 'Derek G.V. Mitchell'}, {'authorId': '2237561890', 'name': 'John J. L. Morton'}, {'authorId': '2532122', 'name': 'M. Vythilingam'}, {'authorId': '2248384945', 'name': 'Luiz Pessoa'}, {'authorId': '2248384108', 'name': 'Daniel J. Fridberg'}, {'authorId': '2245353586', 'name': 'Alan J. Zametkin'}, {'authorId': '2149913124', 'name': 'E. Nelson'}, {'authorId': '2248385032', 'name': 'Wayne C. Drevets'}, {'authorId': '2242549569', 'name': 'Daniel S. Pine'}, {'authorId': '2249076797', 'name': 'Alex Martin'}, {'authorId': '2237561509', 'name': 'R. Blair'}]",384.0,"{'bibtex': '@Article{Blair2007ModulationOE,\n author = {Karina Blair and Bruce W. Smith and Derek G.V. Mitchell and John J. L. Morton and M. Vythilingam and Luiz Pessoa and Daniel J. Fridberg and Alan J. Zametkin and E. Nelson and Wayne C. Drevets and Daniel S. Pine and Alex Martin and R. Blair},\n journal = {NeuroImage},\n pages = {430-440},\n title = {Modulation of emotion by cognition and cognition by emotion},\n volume = {35},\n year = {2007}\n}\n'}",,"{'volume': '35', 'pages': '430-440', 'name': 'NeuroImage'}",48.0,Modulation of emotion by cognition and cognition by emotion,2007.0
4,0059dab998f4e1bb35c1ff609e90533aae104b24,"The past decade has seen substantial research on exact infer- ence for contingency tables, both in terms of developing new analyses and developing efficient algorithms for computations. Coupled with concomitant improvements in computer power, this research has re- sulted in a greater variety of exact procedures becoming feasible for practical use and a considerable increase in the size of data sets to which the procedures can be applied. For some basic analyses of contin- gency tables, it is unnecessary to use large-sample approximations to sampling distributions when their adequacy is in doubt. This article surveys the current theoretical and computational developments of exact methods for contingency tables. Primary attention is given to the exact conditional approach, which eliminates nuisance parameters by conditioning on their sufficient statistics. The presentation of various exact inferences is unified by expressing them in terms of parameters and their sufficient statistics in loglinear models. Exact approaches for many inferences are not yet addressed in the literature, particularly for multidimensional contingency tables, and this article also suggests additional research for the next decade that would make exact methods yet more widely applicable.","[{'authorId': '2817272', 'name': 'A. Agresti'}]",1178.0,"{'bibtex': '@Article{Agresti1992ASO,\n author = {A. Agresti},\n journal = {Statistical Science},\n pages = {131-153},\n title = {A Survey of Exact Inference for Contingency Tables},\n volume = {7},\n year = {1992}\n}\n'}",,"{'volume': '7', 'pages': '131-153', 'name': 'Statistical Science'}",162.0,A Survey of Exact Inference for Contingency Tables,1992.0
5,006fdeff6e1a81c404317ee4056d6cc72f9c0e50,"Analyzing human multimodal language is an emerging area of research in NLP. Intrinsically this language is multimodal (heterogeneous), sequential and asynchronous; it consists of the language (words), visual (expressions) and acoustic (paralinguistic) modalities all in the form of asynchronous coordinated sequences. From a resource perspective, there is a genuine need for large scale datasets that allow for in-depth studies of this form of language. In this paper we introduce CMU Multimodal Opinion Sentiment and Emotion Intensity (CMU-MOSEI), the largest dataset of sentiment analysis and emotion recognition to date. Using data from CMU-MOSEI and a novel multimodal fusion technique called the Dynamic Fusion Graph (DFG), we conduct experimentation to exploit how modalities interact with each other in human multimodal language. Unlike previously proposed fusion techniques, DFG is highly interpretable and achieves competative performance when compared to the previous state of the art.","[{'authorId': '144802290', 'name': 'Amir Zadeh'}, {'authorId': '28130078', 'name': 'P. Liang'}, {'authorId': '1746416', 'name': 'Soujanya Poria'}, {'authorId': '49943757', 'name': 'E. Cambria'}, {'authorId': '49933077', 'name': 'Louis-Philippe Morency'}]",586.0,"{'bibtex': '@Inproceedings{Zadeh2018MultimodalLA,\n author = {Amir Zadeh and P. Liang and Soujanya Poria and E. Cambria and Louis-Philippe Morency},\n pages = {2236-2246},\n title = {Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph},\n year = {2018}\n}\n'}",,{'pages': '2236-2246'},64.0,Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph,2018.0
7,00aa9dd045d081630e68f5539b7e339b88828837,,"[{'authorId': '46409823', 'name': 'Mariam Chammat'}, {'authorId': '2078664017', 'name': 'A. Foucher'}, {'authorId': '2433022', 'name': 'J. Nadel'}, {'authorId': '3440983', 'name': 'S. Dubal'}]",25.0,"{'bibtex': '@Article{Chammat2010ReadingSB,\n author = {Mariam Chammat and A. Foucher and J. Nadel and S. Dubal},\n journal = {Brain Research},\n pages = {95-104},\n title = {Reading sadness beyond human faces},\n volume = {1348},\n year = {2010}\n}\n'}",,"{'volume': '1348', 'pages': '95-104', 'name': 'Brain Research'}",83.0,Reading sadness beyond human faces,2010.0
8,00ae2a7affaaaeaf4e1ee2c804e3fd00f779f519,,"[{'authorId': '1735303', 'name': 'J. Broekens'}, {'authorId': '33694882', 'name': 'M. Harbers'}, {'authorId': '145495942', 'name': 'Willem-Paul Brinkman'}, {'authorId': '1689001', 'name': 'C. Jonker'}, {'authorId': '1747540', 'name': 'K. Bosch'}, {'authorId': '1691228', 'name': 'J. Meyer'}]",60.0,"{'bibtex': '@Inproceedings{Broekens2012VirtualRN,\n author = {J. Broekens and M. Harbers and Willem-Paul Brinkman and C. Jonker and K. Bosch and J. Meyer},\n pages = {218-230},\n title = {Virtual Reality Negotiation Training Increases Negotiation Knowledge and Skill},\n year = {2012}\n}\n'}",,{'pages': '218-230'},36.0,Virtual Reality Negotiation Training Increases Negotiation Knowledge and Skill,2012.0
9,00c17b14a9618544af90e2089e831ebefbc864b1,,"[{'authorId': '3237926', 'name': 'M. Courgeon'}, {'authorId': '1724799', 'name': 'C. Clavel'}]",35.0,"{'bibtex': '@Article{Courgeon2013MARCAF,\n author = {M. Courgeon and C. Clavel},\n journal = {Journal on Multimodal User Interfaces},\n pages = {311-319},\n title = {MARC: a framework that features emotion models for facial animation during human–computer interaction},\n volume = {7},\n year = {2013}\n}\n'}",,"{'volume': '7', 'pages': '311-319', 'name': 'Journal on Multimodal User Interfaces'}",49.0,MARC: a framework that features emotion models for facial animation during human–computer interaction,2013.0
10,00d3d6a56a1d989da8235019903e0415fd158771,,"[{'authorId': '73507079', 'name': 'J. Lutterbie'}]",59.0,"{'bibtex': '@Inproceedings{Lutterbie2011TowardAG,\n author = {J. Lutterbie},\n title = {Toward a General Theory of Acting: Cognitive Science and Performance},\n year = {2011}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,Toward a General Theory of Acting: Cognitive Science and Performance,2011.0
