,paperId,title,abstract,year,referenceCount,citationCount,journal,citationStyles,authors
0,00398dcea6a23be322066a48317edf74a9a816fd,Modulation of emotion by cognition and cognition by emotion,,2007.0,48.0,377.0,"{'volume': '35', 'pages': '430-440', 'name': 'NeuroImage'}","{'bibtex': '@Article{Blair2007ModulationOE,\n author = {Karina Blair and Bruce W. Smith and Derek G.V. Mitchell and John J. L. Morton and M. Vythilingam and Luiz Pessoa and Daniel J. Fridberg and Alan J. Zametkin and E. Nelson and Wayne C. Drevets and Daniel S. Pine and Alex Martin and R. Blair},\n journal = {NeuroImage},\n pages = {430-440},\n title = {Modulation of emotion by cognition and cognition by emotion},\n volume = {35},\n year = {2007}\n}\n'}","[{'authorId': '2248388724', 'name': 'Karina Blair'}, {'authorId': '2249063022', 'name': 'Bruce W. Smith'}, {'authorId': '2245628705', 'name': 'Derek G.V. Mitchell'}, {'authorId': '2237561890', 'name': 'John J. L. Morton'}, {'authorId': '2532122', 'name': 'M. Vythilingam'}, {'authorId': '2248384945', 'name': 'Luiz Pessoa'}, {'authorId': '2248384108', 'name': 'Daniel J. Fridberg'}, {'authorId': '2245353586', 'name': 'Alan J. Zametkin'}, {'authorId': '2149913124', 'name': 'E. Nelson'}, {'authorId': '2248385032', 'name': 'Wayne C. Drevets'}, {'authorId': '2242549569', 'name': 'Daniel S. Pine'}, {'authorId': '2249076797', 'name': 'Alex Martin'}, {'authorId': '2237561509', 'name': 'R. Blair'}]"
1,00513dcc609dc4bc4de8cf84970d6f75ac500440,"A Virtual Midas Touch? Touch, Compliance, and Confederate Bias in Mediated Communication",,2014.0,35.0,52.0,"{'volume': '38', 'pages': '301-311', 'name': 'Journal of Nonverbal Behavior'}","{'bibtex': '@Article{Haans2014AVM,\n author = {A. Haans and R. D. Bruijn and W. IJsselsteijn},\n journal = {Journal of Nonverbal Behavior},\n pages = {301-311},\n title = {A Virtual Midas Touch? Touch, Compliance, and Confederate Bias in Mediated Communication},\n volume = {38},\n year = {2014}\n}\n'}","[{'authorId': '2366343', 'name': 'A. Haans'}, {'authorId': '134625213', 'name': 'R. D. Bruijn'}, {'authorId': '30175887', 'name': 'W. IJsselsteijn'}]"
2,0057ca6696b34cd8ede31887151691883a515769,Mapping the MRI voxel volume in which thermal noise matches physiological noise—Implications for fMRI,,2007.0,28.0,149.0,"{'volume': '34', 'pages': '542-549', 'name': 'NeuroImage'}","{'bibtex': '@Article{Bodurka2007MappingTM,\n author = {J. Bodurka and F. Ye and N. Petridou and K. Murphy and P. Bandettini},\n journal = {NeuroImage},\n pages = {542-549},\n title = {Mapping the MRI voxel volume in which thermal noise matches physiological noise—Implications for fMRI},\n volume = {34},\n year = {2007}\n}\n'}","[{'authorId': '1747797', 'name': 'J. Bodurka'}, {'authorId': '30589776', 'name': 'F. Ye'}, {'authorId': '145147883', 'name': 'N. Petridou'}, {'authorId': '144816684', 'name': 'K. Murphy'}, {'authorId': '1764485', 'name': 'P. Bandettini'}]"
3,0059dab998f4e1bb35c1ff609e90533aae104b24,A Survey of Exact Inference for Contingency Tables,"The past decade has seen substantial research on exact infer- ence for contingency tables, both in terms of developing new analyses and developing efficient algorithms for computations. Coupled with concomitant improvements in computer power, this research has re- sulted in a greater variety of exact procedures becoming feasible for practical use and a considerable increase in the size of data sets to which the procedures can be applied. For some basic analyses of contin- gency tables, it is unnecessary to use large-sample approximations to sampling distributions when their adequacy is in doubt. This article surveys the current theoretical and computational developments of exact methods for contingency tables. Primary attention is given to the exact conditional approach, which eliminates nuisance parameters by conditioning on their sufficient statistics. The presentation of various exact inferences is unified by expressing them in terms of parameters and their sufficient statistics in loglinear models. Exact approaches for many inferences are not yet addressed in the literature, particularly for multidimensional contingency tables, and this article also suggests additional research for the next decade that would make exact methods yet more widely applicable.",1992.0,162.0,1168.0,"{'volume': '7', 'pages': '131-153', 'name': 'Statistical Science'}","{'bibtex': '@Article{Agresti1992ASO,\n author = {A. Agresti},\n journal = {Statistical Science},\n pages = {131-153},\n title = {A Survey of Exact Inference for Contingency Tables},\n volume = {7},\n year = {1992}\n}\n'}","[{'authorId': '2817272', 'name': 'A. Agresti'}]"
4,006b434bf7d3af7282f4769394e97f77642453af,The septum in the human brain,"The septum of the human brain was studied in relation to its location, composition and development. It was possible to divide it into two parts: septum pellucidum, composed of fiber tracts and glia, and septum verum (true septum) which in addition to fiber tracts and glia, contain neurons arranged in a nuclear pattern. The septum verum in the human corresponds to the septum as described in lower forms. The human septum has been thought to have regressed and be nearly functionless in contrast to lower forms. However, the nucleus septalis triangularis is the only septal nucleus which regressed in development when compared to that in the brains of insectivores and primates. The rest of the septal nuclei progressively increased in size during primate development. Finally, it should be emphasized that the septum verum of the human has attained its highest degree of development in primate phylogeny.",1968.0,16.0,138.0,"{'volume': '133', 'name': 'Journal of Comparative Neurology'}","{'bibtex': '@Article{Andy1968TheSI,\n author = {O. Andy and H. Stephan},\n journal = {Journal of Comparative Neurology},\n title = {The septum in the human brain},\n volume = {133},\n year = {1968}\n}\n'}","[{'authorId': '6308013', 'name': 'O. Andy'}, {'authorId': '108085518', 'name': 'H. Stephan'}]"
5,006cac0a1fd354f00de893ecde0a114c81a848eb,Factorial structure and validity of the Emotional Skills and Competences Questionnaire (ESCQ) in Spanish Adolescents,,2019.0,0.0,11.0,"{'volume': '27', 'pages': '275-293', 'name': ''}","{'bibtex': '@Inproceedings{Schoeps2019FactorialSA,\n author = {Konstanze Schoeps and Alicia Tamarit and I. Castilla and Vladimir Takšić},\n pages = {275-293},\n title = {Factorial structure and validity of the Emotional Skills and Competences Questionnaire (ESCQ) in Spanish Adolescents},\n volume = {27},\n year = {2019}\n}\n'}","[{'authorId': '82969793', 'name': 'Konstanze Schoeps'}, {'authorId': '115490114', 'name': 'Alicia Tamarit'}, {'authorId': '2085608479', 'name': 'I. Castilla'}, {'authorId': '3613570', 'name': 'Vladimir Takšić'}]"
6,006fdeff6e1a81c404317ee4056d6cc72f9c0e50,Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph,"Analyzing human multimodal language is an emerging area of research in NLP. Intrinsically this language is multimodal (heterogeneous), sequential and asynchronous; it consists of the language (words), visual (expressions) and acoustic (paralinguistic) modalities all in the form of asynchronous coordinated sequences. From a resource perspective, there is a genuine need for large scale datasets that allow for in-depth studies of this form of language. In this paper we introduce CMU Multimodal Opinion Sentiment and Emotion Intensity (CMU-MOSEI), the largest dataset of sentiment analysis and emotion recognition to date. Using data from CMU-MOSEI and a novel multimodal fusion technique called the Dynamic Fusion Graph (DFG), we conduct experimentation to exploit how modalities interact with each other in human multimodal language. Unlike previously proposed fusion techniques, DFG is highly interpretable and achieves competative performance when compared to the previous state of the art.",2018.0,62.0,568.0,{'pages': '2236-2246'},"{'bibtex': '@Inproceedings{Zadeh2018MultimodalLA,\n author = {Amir Zadeh and P. Liang and Soujanya Poria and E. Cambria and Louis-Philippe Morency},\n pages = {2236-2246},\n title = {Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph},\n year = {2018}\n}\n'}","[{'authorId': '144802290', 'name': 'Amir Zadeh'}, {'authorId': '28130078', 'name': 'P. Liang'}, {'authorId': '1746416', 'name': 'Soujanya Poria'}, {'authorId': '49943757', 'name': 'E. Cambria'}, {'authorId': '49933077', 'name': 'Louis-Philippe Morency'}]"
8,0074ffe2bafcd97096b39d832e839d3cbdafeaed,Support vector machines for temporal classification of block design fMRI data,,2005.0,48.0,422.0,"{'volume': '26', 'pages': '317-329', 'name': 'NeuroImage'}","{'bibtex': '@Article{LaConte2005SupportVM,\n author = {S. LaConte and S. Strother and V. Cherkassky and Jon R. Anderson and Xiaoping P. Hu},\n journal = {NeuroImage},\n pages = {317-329},\n title = {Support vector machines for temporal classification of block design fMRI data},\n volume = {26},\n year = {2005}\n}\n'}","[{'authorId': '2294952', 'name': 'S. LaConte'}, {'authorId': '2790050', 'name': 'S. Strother'}, {'authorId': '145884505', 'name': 'V. Cherkassky'}, {'authorId': '2110844698', 'name': 'Jon R. Anderson'}, {'authorId': '145742210', 'name': 'Xiaoping P. Hu'}]"
9,007d5b01a62873766b053dd38e4df3620a337cf9,Digital Technologies for Emotion-Regulation Assessment and Intervention: A Conceptual Review,"The ability to regulate emotions in response to stress is central to healthy development. Whereas early research in emotion regulation predominantly employed static, self-report measurement, the past decade has seen a shift in focus toward understanding the dynamic nature of regulation processes. This is reflected in recent refinements in the definition of emotion regulation that emphasize the importance of the ability to flexibly adapt regulation efforts across contexts. The latest proliferation of digital technologies employed in mental health research offers the opportunity to capture the state- and context-sensitive nature of emotion regulation. In this conceptual review, we examine the use of digital technologies (ecological momentary assessment; wearable and smartphone technology, physical activity, acoustic data, visual data, and geo-location; smart-home technology; virtual reality; social media) in the assessment of emotion regulation and describe their application to interventions. We also discuss challenges and ethical considerations and outline areas for future research.",2021.0,184.0,21.0,"{'name': 'Clinical Psychological Science', 'pages': '3 - 26', 'volume': '10'}","{'bibtex': '@Article{Bettis2021DigitalTF,\n author = {Alexandra H. Bettis and Taylor A. Burke and J. Nesi and Richard T. Liu},\n booktitle = {Clinical psychological science : a journal of the Association for Psychological Science},\n journal = {Clinical Psychological Science},\n pages = {3 - 26},\n title = {Digital Technologies for Emotion-Regulation Assessment and Intervention: A Conceptual Review},\n volume = {10},\n year = {2021}\n}\n'}","[{'authorId': '3508540', 'name': 'Alexandra H. Bettis'}, {'authorId': '39901453', 'name': 'Taylor A. Burke'}, {'authorId': '5936819', 'name': 'J. Nesi'}, {'authorId': '4409468', 'name': 'Richard T. Liu'}]"
10,0085516e1951f2e7c0f5fecb0fb9385820883e1a,DEAL: Differentially Private Auction for Blockchain-Based Microgrids Energy Trading,"Modern smart homes are being equipped with certain renewable energy resources that can produce their own electric energy. From time to time, these smart homes or microgrids are also capable of supplying energy to other houses, buildings, or energy grid in the time of available self-produced renewable energy. Therefore, researches have been carried out to develop optimal trading strategies, and many recent technologies are also being used in combination with microgrids. One such technology is blockchain, which works over decentralized distributed ledger. In this paper, we develop a blockchain based approach for microgrid energy auction. To make this auction more secure and private, we use differential privacy technique, which ensures that no adversary will be able to infer private information of any participant with confidence. Furthermore, to reduce computational complexity at every trading node, we use consortium blockchain, in which selected nodes are given authority to add a new block in the blockchain. Finally, we develop differentially private Energy Auction for bLockchain-based microgrid systems (DEAL). We compare DEAL with Vickrey–Clarke–Groves (VCG) auction scenario and experimental results demonstrates that DEAL outperforms VCG mechanism by maximizing sellers’ revenue along with maintaining overall network benefit and social welfare.",2020.0,40.0,202.0,"{'volume': '13', 'pages': '263-275', 'name': 'IEEE Transactions on Services Computing'}","{'bibtex': '@Article{Hassan2020DEALDP,\n author = {M. Hassan and M. H. Rehmani and Jinjun Chen},\n journal = {IEEE Transactions on Services Computing},\n pages = {263-275},\n title = {DEAL: Differentially Private Auction for Blockchain-Based Microgrids Energy Trading},\n volume = {13},\n year = {2020}\n}\n'}","[{'authorId': '145884586', 'name': 'M. Hassan'}, {'authorId': '2615259', 'name': 'M. H. Rehmani'}, {'authorId': '1699149190', 'name': 'Jinjun Chen'}]"
