,paperId,title,abstract,year,referenceCount,citationCount,journal,citationStyles,authors
0,000a2d26225e66bc512087a6bfcb555ab66bdcfc,The Broad Autism Phenotype Questionnaire: Prevalence and Diagnostic Classification,"The Broad Autism Phenotype Questionnaire (BAPQ) was administered to a large community‐based sample of biological parents of children with autism (PCAs) and comparison parents (CPs) (n = 1,692). Exploratory factor analysis and internal consistency parameters confirmed a robust three‐factor structure of the BAPQ, corresponding to the proposed aloof, pragmatic language and rigidity subscales. Based upon the distribution of Broad Autism Phenotype (BAP) features in the general population, new normative cutoff values for BAPQ subscales were established that provide increased specificity relative to those previously reported, and thus enhance the utility of the BAPQ for diagnostically classifying the BAP. These cutoffs were also used to estimate prevalence of the BAP and its three components, with rates ranging between 14–23% for PCAs and between 5–9% for CPs. Analysis of patterns of BAP characteristics within family members revealed that BAP features were more likely to co‐occur in PCAs relative to CPs. Collectively, these findings extend the utility of the BAPQ and provide additional evidence that it is an efficient and reliable tool for disaggregating the heterogeneity of autism through the identification of meaningful subgroups of parents. Autism Res 2013, 6: 134–143. © 2013 International Society for Autism Research, Wiley Periodicals, Inc.",2013.0,41.0,142.0,"{'volume': '6', 'name': 'Autism Research'}","{'bibtex': '@Article{Sasson2013TheBA,\n author = {N. Sasson and Kristen S. L. Lam and D. Childress and Morgan Parlier and J. Daniels and J. Piven},\n journal = {Autism Research},\n title = {The Broad Autism Phenotype Questionnaire: Prevalence and Diagnostic Classification},\n volume = {6},\n year = {2013}\n}\n'}","[{'authorId': '4378420', 'name': 'N. Sasson'}, {'authorId': '6063479', 'name': 'Kristen S. L. Lam'}, {'authorId': '47952335', 'name': 'D. Childress'}, {'authorId': '4333819', 'name': 'Morgan Parlier'}, {'authorId': '3951238', 'name': 'J. Daniels'}, {'authorId': '2718912', 'name': 'J. Piven'}]"
1,001894bdede07d732d727dd0056315db0643b880,Emotion dysregulation across levels of substance use,,2020.0,52.0,24.0,"{'volume': '296', 'name': 'Psychiatry Research'}","{'bibtex': '@Article{Garke2020EmotionDA,\n author = {M. Garke and N. Isacsson and K. Sörman and J. Bjureberg and C. Hellner and K. L. Gratz and Christopher R. Berghoff and R. Sinha and M. Tull and N. Jayaram-Lindström},\n journal = {Psychiatry Research},\n title = {Emotion dysregulation across levels of substance use},\n volume = {296},\n year = {2020}\n}\n'}","[{'authorId': '79957345', 'name': 'M. Garke'}, {'authorId': '51886539', 'name': 'N. Isacsson'}, {'authorId': '4983269', 'name': 'K. Sörman'}, {'authorId': '6370509', 'name': 'J. Bjureberg'}, {'authorId': '9990724', 'name': 'C. Hellner'}, {'authorId': '5806761', 'name': 'K. L. Gratz'}, {'authorId': '6501585', 'name': 'Christopher R. Berghoff'}, {'authorId': '38578297', 'name': 'R. Sinha'}, {'authorId': '2059670', 'name': 'M. Tull'}, {'authorId': '1398527076', 'name': 'N. Jayaram-Lindström'}]"
2,004eba8196784a80275a1d738980baffccfae027,The Experiences of People with an Intellectual Disability of a Mindfulness-Based Program,,2019.0,63.0,20.0,"{'volume': '10', 'pages': '1304-1314', 'name': 'Mindfulness'}","{'bibtex': '@Article{Currie2019TheEO,\n author = {Tammy-Lee Currie and K. Mckenzie and S. Noone},\n journal = {Mindfulness},\n pages = {1304-1314},\n title = {The Experiences of People with an Intellectual Disability of a Mindfulness-Based Program},\n volume = {10},\n year = {2019}\n}\n'}","[{'authorId': '153928835', 'name': 'Tammy-Lee Currie'}, {'authorId': '143679141', 'name': 'K. Mckenzie'}, {'authorId': '32069331', 'name': 'S. Noone'}]"
3,00576d23533c00772adb5ad78b1d44c01b431e51,Comparing the efficacy of EMDR and trauma-focused cognitive-behavioral therapy in the treatment of PTSD: a meta-analytic study,"Background. Eye movement desensitization and reprocessing (EMDR) and trauma-focused cognitive-behavioral therapy (CBT) are both widely used in the treatment of post-traumatic stress disorder (PTSD). There has, however, been debate regarding the advantages of one approach over the other. This study sought to determine whether there was any evidence that one treatment was superior to the other. Method. We performed a systematic review of the literature dating from 1989 to 2005 and identified eight publications describing treatment outcomes of EMDR and CBT in active–active comparisons. Seven of these studies were investigated meta-analytically. Results. The superiority of one treatment over the other could not be demonstrated. Trauma-focused CBT and EMDR tend to be equally efficacious. Differences between the two forms of treatment are probably not of clinical significance. While the data indicate that moderator variables influence treatment efficacy, we argue that because of the small number of original studies, little benefit is to be gained from a closer examination of these variables. Further research is needed within the framework of randomized controlled trials. Conclusions. Our results suggest that in the treatment of PTSD, both therapy methods tend to be equally efficacious. We suggest that future research should not restrict its focus to the efficacy, effectiveness and efficiency of these therapy methods but should also attempt to establish which trauma patients are more likely to benefit from one method or the other. What remains unclear is the contribution of the eye movement component in EMDR to treatment outcome.",2006.0,38.0,424.0,"{'volume': '36', 'pages': '1515 - 1522', 'name': 'Psychological Medicine'}","{'bibtex': '@Article{Seidler2006ComparingTE,\n author = {G. Seidler and F. Wagner},\n journal = {Psychological Medicine},\n pages = {1515 - 1522},\n title = {Comparing the efficacy of EMDR and trauma-focused cognitive-behavioral therapy in the treatment of PTSD: a meta-analytic study},\n volume = {36},\n year = {2006}\n}\n'}","[{'authorId': '72935940', 'name': 'G. Seidler'}, {'authorId': '32578025', 'name': 'F. Wagner'}]"
5,0057ca6696b34cd8ede31887151691883a515769,Mapping the MRI voxel volume in which thermal noise matches physiological noise—Implications for fMRI,,2007.0,28.0,149.0,"{'volume': '34', 'pages': '542-549', 'name': 'NeuroImage'}","{'bibtex': '@Article{Bodurka2007MappingTM,\n author = {J. Bodurka and F. Ye and N. Petridou and K. Murphy and P. Bandettini},\n journal = {NeuroImage},\n pages = {542-549},\n title = {Mapping the MRI voxel volume in which thermal noise matches physiological noise—Implications for fMRI},\n volume = {34},\n year = {2007}\n}\n'}","[{'authorId': '1747797', 'name': 'J. Bodurka'}, {'authorId': '30589776', 'name': 'F. Ye'}, {'authorId': '145147883', 'name': 'N. Petridou'}, {'authorId': '144816684', 'name': 'K. Murphy'}, {'authorId': '1764485', 'name': 'P. Bandettini'}]"
6,006b434bf7d3af7282f4769394e97f77642453af,The septum in the human brain,"The septum of the human brain was studied in relation to its location, composition and development. It was possible to divide it into two parts: septum pellucidum, composed of fiber tracts and glia, and septum verum (true septum) which in addition to fiber tracts and glia, contain neurons arranged in a nuclear pattern. The septum verum in the human corresponds to the septum as described in lower forms. The human septum has been thought to have regressed and be nearly functionless in contrast to lower forms. However, the nucleus septalis triangularis is the only septal nucleus which regressed in development when compared to that in the brains of insectivores and primates. The rest of the septal nuclei progressively increased in size during primate development. Finally, it should be emphasized that the septum verum of the human has attained its highest degree of development in primate phylogeny.",1968.0,16.0,138.0,"{'volume': '133', 'name': 'Journal of Comparative Neurology'}","{'bibtex': '@Article{Andy1968TheSI,\n author = {O. Andy and H. Stephan},\n journal = {Journal of Comparative Neurology},\n title = {The septum in the human brain},\n volume = {133},\n year = {1968}\n}\n'}","[{'authorId': '6308013', 'name': 'O. Andy'}, {'authorId': '108085518', 'name': 'H. Stephan'}]"
7,006b50b7a9589e736d245a22347c9b7c87286d59,BETWEEN AFFECT AND COGNITION: PROVING AT UNIVERSITY LEVEL,In this paper we report on a case study of a university student (third year of Mathematics course). She was engaged in proving a statement of elementary number theory. We asked her to write the thoughts that accompanied her solving process. She was collaborative and her protocol is suitable to study the interrelation between affect and cognition. We seize in her performance a poor control of the solving process intertwined with emotions and beliefs on the mathematical activity.,2004.0,18.0,5.0,"{'volume': '3', 'pages': '369-376', 'name': 'International Group for the Psychology of Mathematics Education'}","{'bibtex': '@Article{Furinghetti2004BETWEENAA,\n author = {F. Furinghetti and F. Morselli},\n journal = {International Group for the Psychology of Mathematics Education},\n pages = {369-376},\n title = {BETWEEN AFFECT AND COGNITION: PROVING AT UNIVERSITY LEVEL},\n volume = {3},\n year = {2004}\n}\n'}","[{'authorId': '2861380', 'name': 'F. Furinghetti'}, {'authorId': '3330929', 'name': 'F. Morselli'}]"
8,0074ffe2bafcd97096b39d832e839d3cbdafeaed,Support vector machines for temporal classification of block design fMRI data,,2005.0,48.0,422.0,"{'volume': '26', 'pages': '317-329', 'name': 'NeuroImage'}","{'bibtex': '@Article{LaConte2005SupportVM,\n author = {S. LaConte and S. Strother and V. Cherkassky and Jon R. Anderson and Xiaoping P. Hu},\n journal = {NeuroImage},\n pages = {317-329},\n title = {Support vector machines for temporal classification of block design fMRI data},\n volume = {26},\n year = {2005}\n}\n'}","[{'authorId': '2294952', 'name': 'S. LaConte'}, {'authorId': '2790050', 'name': 'S. Strother'}, {'authorId': '145884505', 'name': 'V. Cherkassky'}, {'authorId': '2110844698', 'name': 'Jon R. Anderson'}, {'authorId': '145742210', 'name': 'Xiaoping P. Hu'}]"
9,007562ffd06d86e50db0457888593e0add9f43ac,The Interrelation Between Peripersonal Action Space and Interpersonal Social Space: Psychophysiological Evidence and Clinical Implications,"The peripersonal space is an adaptive and flexible interface between the body and the environment that fulfills a dual-motor function: preparing the body for voluntary object-oriented actions to interact with incentive stimuli and preparing the body for defensive responses when facing potentially harmful stimuli. In this position article, we provide arguments for the sensorimotor rooting of the peripersonal space representation and highlight the variables that contribute to its flexible and adaptive characteristics. We also demonstrate that peripersonal space represents a mediation zone between the body and the environment contributing to not only the control of goal-directed actions but also the organization of social life. The whole of the data presented and discussed led us to the proposal of a new theoretical framework linking the peripersonal action space and the interpersonal social space and we highlight how this theoretical framework can account for social behaviors in populations with socio-emotional deficits.",2021.0,182.0,28.0,"{'volume': '15', 'name': 'Frontiers in Human Neuroscience'}","{'bibtex': '@Article{Coello2021TheIB,\n author = {Y. Coello and A. Cartaud},\n journal = {Frontiers in Human Neuroscience},\n title = {The Interrelation Between Peripersonal Action Space and Interpersonal Social Space: Psychophysiological Evidence and Clinical Implications},\n volume = {15},\n year = {2021}\n}\n'}","[{'authorId': '3200187', 'name': 'Y. Coello'}, {'authorId': '41033515', 'name': 'A. Cartaud'}]"
10,0089abe41a632b652af8bf62b36c65844fa463d2,Early Social-Emotional Functioning and Public Health: The Relationship Between Kindergarten Social Competence and Future Wellness.,"OBJECTIVES
We examined whether kindergarten teachers' ratings of children's prosocial skills, an indicator of noncognitive ability at school entry, predict key adolescent and adult outcomes. Our goal was to determine unique associations over and above other important child, family, and contextual characteristics.


METHODS
Data came from the Fast Track study of low-socioeconomic status neighborhoods in 3 cities and 1 rural setting. We assessed associations between measured outcomes in kindergarten and outcomes 13 to 19 years later (1991-2000). Models included numerous control variables representing characteristics of the child, family, and context, enabling us to explore the unique contributions among predictors.


RESULTS
We found statistically significant associations between measured social-emotional skills in kindergarten and key young adult outcomes across multiple domains of education, employment, criminal activity, substance use, and mental health.


CONCLUSIONS
A kindergarten measure of social-emotional skills may be useful for assessing whether children are at risk for deficits in noncognitive skills later in life and, thus, help identify those in need of early intervention. These results demonstrate the relevance of noncognitive skills in development for personal and public health outcomes.",2015.0,280.0,727.0,"{'volume': '105 11', 'pages': '\n          2283-90\n        ', 'name': 'American journal of public health'}","{'bibtex': '@Article{Jones2015EarlySF,\n author = {Damon Jones and M. Greenberg and M. Crowley},\n journal = {American journal of public health},\n pages = {\n          2283-90\n        },\n title = {Early Social-Emotional Functioning and Public Health: The Relationship Between Kindergarten Social Competence and Future Wellness.},\n volume = {105 11},\n year = {2015}\n}\n'}","[{'authorId': '36531525', 'name': 'Damon Jones'}, {'authorId': '144295419', 'name': 'M. Greenberg'}, {'authorId': '38346789', 'name': 'M. Crowley'}]"
11,00e7df13e6a5b914206ba19d456e76ece08ac753,How Does the Fast Track Intervention Prevent Adverse Outcomes in Young Adulthood?,"Numerous studies have shown that childhood interventions can foster improved outcomes in adulthood. Less well understood is precisely how-that is, through which developmental pathways-these interventions work. This study assesses mechanisms by which the Fast Track project (n = 891), a randomized intervention in the early 1990s for high-risk children in four communities (Durham, NC; Nashville, TN; rural PA; and Seattle, WA), reduced delinquency, arrests, and general and mental health service utilization in adolescence through young adulthood (ages 12-20). A decomposition of treatment effects indicates that about a third of Fast Track's impact on later crime outcomes can be accounted for by improvements in social and self-regulation skills during childhood (ages 6-11), such as prosocial behavior, emotion regulation, and problem solving. These skills proved less valuable for the prevention of general and mental health problems.",2016.0,53.0,48.0,"{'volume': '87 2', 'pages': '\n          429-45\n        ', 'name': 'Child development'}","{'bibtex': '@Article{Sorensen2016HowDT,\n author = {Lucy C. Sorensen and K. Dodge},\n journal = {Child development},\n pages = {\n          429-45\n        },\n title = {How Does the Fast Track Intervention Prevent Adverse Outcomes in Young Adulthood?},\n volume = {87 2},\n year = {2016}\n}\n'}","[{'authorId': '12316397', 'name': 'Lucy C. Sorensen'}, {'authorId': '2812179', 'name': 'K. Dodge'}]"
12,0141bbd3bb0d9470ca4ff30832cd31f227e37d9f,A Survey on Smart Wearables in the Application of Fitness,"Fitness is a measure of human being's healthy status. With more and more come out of poverty today, people pursue fit lives through various ways such as reasonable nutrition, regular exercise and sufficient sleep. Fitness is improving through smart wearables more and more popularly with the prevalence of Internet of Things and smart phones. There are various smart wearables such smart glasses, smart wristbands, smart watches, smart gloves, smart clothes, smart hats and smart shoes, etc. Typically, these smart wearables form a personal area network (PAN) based on Bluetooth around a smart phone. In this survey, we studied the underlying technologies for smart wearables from hardware such as sensors, actuators and microcontrollers to software such as operating systems, apps and cloud, etc. that are available in the consumer market. At the end, we look into the future directions such as implantable biosensors and challenges such as privacy and security of smart wearables for fitness.",2017.0,48.0,35.0,"{'pages': '303-307', 'name': '2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)'}","{'bibtex': '@Article{Qiu2017ASO,\n author = {Hao Qiu and Xianping Wang and Fei Xie},\n journal = {2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)},\n pages = {303-307},\n title = {A Survey on Smart Wearables in the Application of Fitness},\n year = {2017}\n}\n'}","[{'authorId': '152674234', 'name': 'Hao Qiu'}, {'authorId': '1945526037', 'name': 'Xianping Wang'}, {'authorId': '2041308910', 'name': 'Fei Xie'}]"
13,0142177f2b75b8434c09064511de6c1c0ec4178a,What the face displays: Mapping 28 emotions conveyed by naturalistic expression.,"What emotions do the face and body express? Guided by new conceptual and quantitative approaches (Cowen, Elfenbein, Laukka, & Keltner, 2018; Cowen & Keltner, 2017, 2018), we explore the taxonomy of emotion recognized in facial-bodily expression. Participants (N = 1,794; 940 female, ages 18-76 years) judged the emotions captured in 1,500 photographs of facial-bodily expression in terms of emotion categories, appraisals, free response, and ecological validity. We find that facial-bodily expressions can reliably signal at least 28 distinct categories of emotion that occur in everyday life. Emotion categories, more so than appraisals such as valence and arousal, organize emotion recognition. However, categories of emotion recognized in naturalistic facial and bodily behavior are not discrete but bridged by smooth gradients that correspond to continuous variations in meaning. Our results support a novel view that emotions occupy a high-dimensional space of categories bridged by smooth gradients of meaning. They offer an approximation of a taxonomy of facial-bodily expressions, visualized within an online interactive map. (PsycINFO Database Record (c) 2019 APA, all rights reserved).",2020.0,75.0,77.0,{'name': 'The American psychologist'},"{'bibtex': '@Article{Cowen2020WhatTF,\n author = {Alan S. Cowen and D. Keltner},\n journal = {The American psychologist},\n title = {What the face displays: Mapping 28 emotions conveyed by naturalistic expression.},\n year = {2020}\n}\n'}","[{'authorId': '49531494', 'name': 'Alan S. Cowen'}, {'authorId': '3990536', 'name': 'D. Keltner'}]"
14,0150db8c08dbe981730d0510256a5149aa00c61d,Sexual activity and other risk-taking behaviors among Asian-American adolescents.,,2007.0,50.0,39.0,"{'volume': '20 1', 'pages': '\n          29-34\n        ', 'name': 'Journal of pediatric and adolescent gynecology'}","{'bibtex': '@Article{Tosh2007SexualAA,\n author = {A. Tosh and P. Simmons},\n journal = {Journal of pediatric and adolescent gynecology},\n pages = {\n          29-34\n        },\n title = {Sexual activity and other risk-taking behaviors among Asian-American adolescents.},\n volume = {20 1},\n year = {2007}\n}\n'}","[{'authorId': '47552798', 'name': 'A. Tosh'}, {'authorId': '11030945', 'name': 'P. Simmons'}]"
15,0175f718346c818b1a96c0fa63983b2713a7b825,Cross-Cultural and Gender Measurement Invariance of the Intrapersonal and Interpersonal Emotional Competence Questionnaire,"The Intrapersonal and Interpersonal Emotional Competence Questionnaire (IIECQ) was developed from the Emotional Skills and Competence Questionnaire, a",2020.0,82.0,4.0,"{'volume': '29', 'pages': '167-190', 'name': ''}","{'bibtex': '@Inproceedings{Avsec2020CrossCulturalAG,\n author = {A. Avsec and I. Belasheva and J. Čeněk and Azizuddin Khan and T. Mohorić and Vladimir Takšić and G. Zager Kocjan},\n pages = {167-190},\n title = {Cross-Cultural and Gender Measurement Invariance of the Intrapersonal and Interpersonal Emotional Competence Questionnaire},\n volume = {29},\n year = {2020}\n}\n'}","[{'authorId': '115307515', 'name': 'A. Avsec'}, {'authorId': '117235178', 'name': 'I. Belasheva'}, {'authorId': '52572378', 'name': 'J. Čeněk'}, {'authorId': '2108325616', 'name': 'Azizuddin Khan'}, {'authorId': '40425103', 'name': 'T. Mohorić'}, {'authorId': '3613570', 'name': 'Vladimir Takšić'}, {'authorId': '146860048', 'name': 'G. Zager Kocjan'}]"
16,01820eff656d3820576a60e8371f136c46d34120,Personal and social factors involved in internet addiction among adolescents: A meta-analysis,,2018.0,68.0,137.0,"{'volume': '86', 'pages': '387-400', 'name': 'Comput. Hum. Behav.'}","{'bibtex': '@Article{Fumero2018PersonalAS,\n author = {A. Fumero and Rosario J. Marrero and Dolores Voltes and W. Peñate},\n journal = {Comput. Hum. Behav.},\n pages = {387-400},\n title = {Personal and social factors involved in internet addiction among adolescents: A meta-analysis},\n volume = {86},\n year = {2018}\n}\n'}","[{'authorId': '144275403', 'name': 'A. Fumero'}, {'authorId': '7764324', 'name': 'Rosario J. Marrero'}, {'authorId': '51036840', 'name': 'Dolores Voltes'}, {'authorId': '4260942', 'name': 'W. Peñate'}]"
17,01840b6d00de248d13cc30822462df8a47cf969e,Nonverbal overload: A theoretical argument for the causes of Zoom fatigue.,"For decades, scholars have predicted that videoconference technology will disrupt the practice of commuting daily to and from work and will change the way people socialize. In 2020, the Covid-19 pandemic forced a drastic increase in the number of videoconference meetings, and Zoom became the leading software package because it was free, robust, and easy to use. While the software has been an essential tool for productivity, learning, and social interaction, something about being on videoconference all day seems particularly exhausting, and the term “Zoom Fatigue” caught on quickly. In this article, I focus on nonverbal overload as a potential cause for fatigue, and provide four arguments outlining how various aspects of the current Zoom interface likely lead to psychological consequences. The arguments are based on academic theory and research, but also have yet to be directly tested in the context of Zoom, and require future experimentation to confirm. Instead of indicting the medium, my goal is to point out these design flaws to isolate research areas for social scientists and to suggest design improvements for technologists.",2021.0,29.0,466.0,"{'name': 'Technology, Mind, and Behavior'}","{'bibtex': '@Article{Bailenson2021NonverbalOA,\n author = {J. Bailenson},\n journal = {Technology, Mind, and Behavior},\n title = {Nonverbal overload: A theoretical argument for the causes of Zoom fatigue.},\n year = {2021}\n}\n'}","[{'authorId': '1737161', 'name': 'J. Bailenson'}]"
18,01b70ea827a66002eef59926895eb3ab5551df56,A virtual reality approach to mindfulness skills training,,2019.0,51.0,50.0,"{'volume': '24', 'pages': '143-149', 'name': 'Virtual Reality'}","{'bibtex': '@Article{Chandrasiri2019AVR,\n author = {Amaya Chandrasiri and J. Collett and Eric Fassbender and Alexander De Foe},\n journal = {Virtual Reality},\n pages = {143-149},\n title = {A virtual reality approach to mindfulness skills training},\n volume = {24},\n year = {2019}\n}\n'}","[{'authorId': '72172166', 'name': 'Amaya Chandrasiri'}, {'authorId': '71567294', 'name': 'J. Collett'}, {'authorId': '1807413', 'name': 'Eric Fassbender'}, {'authorId': '51041595', 'name': 'Alexander De Foe'}]"
19,01c6f33289d89cc1245d3d16354e9c0bad8138f4,Use of Controlled Diaphragmatic Breathing for the Management of Motion Sickness in a Virtual Reality Environment,,2014.0,40.0,47.0,"{'volume': '39', 'pages': '269 - 277', 'name': 'Applied Psychophysiology and Biofeedback'}","{'bibtex': '@Article{Russell2014UseOC,\n author = {M. E. B. Russell and Brittney Hoffman and Sarah E. Stromberg and C. Carlson},\n journal = {Applied Psychophysiology and Biofeedback},\n pages = {269 - 277},\n title = {Use of Controlled Diaphragmatic Breathing for the Management of Motion Sickness in a Virtual Reality Environment},\n volume = {39},\n year = {2014}\n}\n'}","[{'authorId': '47186141', 'name': 'M. E. B. Russell'}, {'authorId': '1400828940', 'name': 'Brittney Hoffman'}, {'authorId': '4683569', 'name': 'Sarah E. Stromberg'}, {'authorId': '1947118', 'name': 'C. Carlson'}]"
