,paperId,title,abstract,year,referenceCount,citationCount,journal,citationStyles,authors
0,001616a2661b20b92387ef40a63bb95ab9883a87,A sociocognitive approach to social problem solving in patients with traumatic brain injury: a pilot study,"ABSTRACT Primary objective: Patients with traumatic brain injury (TBI) have difficulty dealing with the social world and may display inappropriate social behavior that negatively affects their social and occupational rehabilitation. This difficulty may be explained by a social problem-solving (SPS) impairment, but little is yet known about the cognitive processes involved in the ability to solve social problems. Several publications have demonstrated that executive functions are related to social problem solving, but the role of social cognition needs to be confirmed. The present pilot study examined the expected relationships between SPS ability and both social cognition and social behavioral skills. Research design: We compared the performances of 15 patients with TBI on SPS, theory-of-mind and social behavior tasks with those of 25 matched healthy controls. Main outcomes and results: Our results showed for the first time that impaired social problem solving is associated with a theory-of-mind deficit, but surprisingly not with executive impairment. There was no evidence that SPS deficits predict social behavioral disorders. Conclusions: Studying social problem solving in patients with TBI may inform the design of more appropriate methods of social rehabilitation.",2018.0,56.0,6.0,"{'volume': '33', 'pages': '40 - 47', 'name': 'Brain Injury'}","{'bibtex': '@Article{Saint-Jean2018ASA,\n author = {Mathilde Saint-Jean and P. Allain and Jérémy Besnard},\n journal = {Brain Injury},\n pages = {40 - 47},\n title = {A sociocognitive approach to social problem solving in patients with traumatic brain injury: a pilot study},\n volume = {33},\n year = {2018}\n}\n'}","[{'authorId': '1486122642', 'name': 'Mathilde Saint-Jean'}, {'authorId': '153541817', 'name': 'P. Allain'}, {'authorId': '35312629', 'name': 'Jérémy Besnard'}]"
1,0037e73960b4c9d19b8928c8f82d82ce315d4fe7,Learning from the minds of others: A review of social cognition treatments and their relevance to traumatic brain injury,"ABSTRACT Social cognition is widely regarded as an essential skill with which to understand the social world. Despite this, the role that social cognition plays in outcome, and whether deficits are remediable after traumatic brain injury (TBI), are not yet well known. The current review examines the construct of social cognition and presents a conceptual biopsychosocial model with which to understand the social cognitive process. This is related to the literature on social cognitive deficits in TBI and we discuss relevant treatment developments to date within this population. We then review social cognition treatment programmes researched in other clinical populations in order to advise and inform approaches for those living with TBI. Whilst treatments have focused on emotion perception skills in the TBI literature, programmes developed for other clinical populations have had broader targets, focusing on Theory of Mind skills and/or modifying interpretational cognitive biases. Moreover, they have largely proven to be efficacious. Programmes that are contextualised, collaborative, and experiential seem optimal in enabling generalisation relevant to individuals’ everyday social lives. We argue that there is therefore scope to improve the evidence-based social cognitive treatment options available for those with TBI, taking into account specific adaptations necessary for this population.",2019.0,237.0,61.0,"{'volume': '29', 'pages': '22 - 55', 'name': 'Neuropsychological Rehabilitation'}","{'bibtex': '@Article{Cassel2019LearningFT,\n author = {Anneli Cassel and S. McDonald and M. Kelly and L. Togher},\n journal = {Neuropsychological Rehabilitation},\n pages = {22 - 55},\n title = {Learning from the minds of others: A review of social cognition treatments and their relevance to traumatic brain injury},\n volume = {29},\n year = {2019}\n}\n'}","[{'authorId': '10273454', 'name': 'Anneli Cassel'}, {'authorId': '143982280', 'name': 'S. McDonald'}, {'authorId': '8060857', 'name': 'M. Kelly'}, {'authorId': '4720305', 'name': 'L. Togher'}]"
2,006313f2cbbc291e49f0673f2fdb1ae5608f8002,"Emotional intelligence as zeitgeist, as personality, and as a mental ability.",,2000.0,0.0,427.0,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Mayer2000EmotionalIA,\n author = {J. Mayer and P. Salovey and D. Caruso},\n title = {Emotional intelligence as zeitgeist, as personality, and as a mental ability.},\n year = {2000}\n}\n'}","[{'authorId': '3711067', 'name': 'J. Mayer'}, {'authorId': '3811032', 'name': 'P. Salovey'}, {'authorId': '145266809', 'name': 'D. Caruso'}]"
3,0063c26356c2a10b1f796e438a23e625e84f0f67,The Design and Impact of the Pedagogical Agent: A Systematic Literature Review,"A pedagogical agent is an anthropomorphic virtual character used in an online learning environment to serve instructional purposes. The design of pedagogical agents changes over time depending on the desired objectives for them. This article is a systematic review of the research from 2007 to 2017 related to the design factors of pedagogical agents and their impact on learning environments. The objective of this review is to identify and analyze pedagogical agents through the context in which they are constructed, the independent variables used in pedagogical agent research, and the impact of the pedagogical agent implementation. The review found that research on the design of pedagogical agents has different forms, namely text, voice, 2-D character, 3-D character, and human. The independent variables used in the studies are categorized into the appearance of agents and the role of agents. Moreover, the combination of pedagogical agent designs and role designs of pedagogical agents has significant positive impacts on student learning and student behavior. Recommendations are also provided at the end of this review.",2019.0,88.0,67.0,{'name': 'The Journal of Educators Online'},"{'bibtex': '@Article{Martha2019TheDA,\n author = {Ati Suci Dian Martha and H. Santoso},\n journal = {The Journal of Educators Online},\n title = {The Design and Impact of the Pedagogical Agent: A Systematic Literature Review},\n year = {2019}\n}\n'}","[{'authorId': '30787277', 'name': 'Ati Suci Dian Martha'}, {'authorId': '1856399', 'name': 'H. Santoso'}]"
4,006fdeff6e1a81c404317ee4056d6cc72f9c0e50,Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph,"Analyzing human multimodal language is an emerging area of research in NLP. Intrinsically this language is multimodal (heterogeneous), sequential and asynchronous; it consists of the language (words), visual (expressions) and acoustic (paralinguistic) modalities all in the form of asynchronous coordinated sequences. From a resource perspective, there is a genuine need for large scale datasets that allow for in-depth studies of this form of language. In this paper we introduce CMU Multimodal Opinion Sentiment and Emotion Intensity (CMU-MOSEI), the largest dataset of sentiment analysis and emotion recognition to date. Using data from CMU-MOSEI and a novel multimodal fusion technique called the Dynamic Fusion Graph (DFG), we conduct experimentation to exploit how modalities interact with each other in human multimodal language. Unlike previously proposed fusion techniques, DFG is highly interpretable and achieves competative performance when compared to the previous state of the art.",2018.0,64.0,578.0,{'pages': '2236-2246'},"{'bibtex': '@Inproceedings{Zadeh2018MultimodalLA,\n author = {Amir Zadeh and P. Liang and Soujanya Poria and E. Cambria and Louis-Philippe Morency},\n pages = {2236-2246},\n title = {Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph},\n year = {2018}\n}\n'}","[{'authorId': '144802290', 'name': 'Amir Zadeh'}, {'authorId': '28130078', 'name': 'P. Liang'}, {'authorId': '1746416', 'name': 'Soujanya Poria'}, {'authorId': '49943757', 'name': 'E. Cambria'}, {'authorId': '49933077', 'name': 'Louis-Philippe Morency'}]"
5,00ae2a7affaaaeaf4e1ee2c804e3fd00f779f519,Virtual Reality Negotiation Training Increases Negotiation Knowledge and Skill,,2012.0,36.0,58.0,{'pages': '218-230'},"{'bibtex': '@Inproceedings{Broekens2012VirtualRN,\n author = {J. Broekens and M. Harbers and Willem-Paul Brinkman and C. Jonker and K. Bosch and J. Meyer},\n pages = {218-230},\n title = {Virtual Reality Negotiation Training Increases Negotiation Knowledge and Skill},\n year = {2012}\n}\n'}","[{'authorId': '1735303', 'name': 'J. Broekens'}, {'authorId': '33694882', 'name': 'M. Harbers'}, {'authorId': '145495942', 'name': 'Willem-Paul Brinkman'}, {'authorId': '1689001', 'name': 'C. Jonker'}, {'authorId': '1747540', 'name': 'K. Bosch'}, {'authorId': '1691228', 'name': 'J. Meyer'}]"
6,00c1aea28ea0f290d7e737c29adb490eb7b8437f,‘Collective making’ as knowledge mobilisation: the contribution of participatory design in the co-creation of knowledge in healthcare,,2018.0,74.0,134.0,"{'volume': '18', 'name': 'BMC Health Services Research'}","{'bibtex': '@Article{Langley2018CollectiveMA,\n author = {Joe Langley and D. Wolstenholme and J. Cooke},\n journal = {BMC Health Services Research},\n title = {‘Collective making’ as knowledge mobilisation: the contribution of participatory design in the co-creation of knowledge in healthcare},\n volume = {18},\n year = {2018}\n}\n'}","[{'authorId': '48621343', 'name': 'Joe Langley'}, {'authorId': '46482868', 'name': 'D. Wolstenholme'}, {'authorId': '80893581', 'name': 'J. Cooke'}]"
8,00de05d516ab3b3d59c9bccfd1a63ef0567152fa,"A proposed methodology of bringing past life in digital cultural heritage through crowd simulation: a case study in George Town, Malaysia",,2019.0,71.0,17.0,"{'volume': '79', 'pages': '3387-3423', 'name': 'Multimedia Tools and Applications'}","{'bibtex': '@Article{Lim2019APM,\n author = {C. Lim and K. Tan and A. A. Zaidan and B. Zaidan},\n journal = {Multimedia Tools and Applications},\n pages = {3387-3423},\n title = {A proposed methodology of bringing past life in digital cultural heritage through crowd simulation: a case study in George Town, Malaysia},\n volume = {79},\n year = {2019}\n}\n'}","[{'authorId': '144422851', 'name': 'C. Lim'}, {'authorId': '31945834', 'name': 'K. Tan'}, {'authorId': '144927995', 'name': 'A. A. Zaidan'}, {'authorId': '1768980', 'name': 'B. Zaidan'}]"
9,00def85f6effac0ef13ad87dac695a45a0ff3b4c,Using Facial Expressiveness of a Virtual Agent to Induce Empathy in Users,"ABSTRACT Healthcare simulators are learning environments that offer many training opportunities. The integration of expressive virtual patients in these simulators encourages the exchanges and provokes emotional reactions in the learner, which promotes memorization and learning. Based on these elements, we assume that the facial expressiveness of a virtual agent is a factor to be considered in order to improve the user experience. We investigate the impact of the facial expressiveness of virtual humans on the empathy induction in the user of health simulators. We also investigate the impact of facial expressiveness on the user’s sense of similarity and the affective bond with the agent. Our results show a high empathy score when users train with simulators. Depending on the context, we observe a significant difference in perspective-taking in favor of the users who interact with an expressive virtual agent to a virtual agent without facial expressiveness.",2021.0,88.0,12.0,"{'name': 'International Journal of Human–Computer Interaction', 'pages': '240 - 252', 'volume': '38'}","{'bibtex': '@Article{Milcent2021UsingFE,\n author = {Anne-Sophie Milcent and Abdelmajid Kadri and S. Richir},\n booktitle = {International journal of human computer interactions},\n journal = {International Journal of Human–Computer Interaction},\n pages = {240 - 252},\n title = {Using Facial Expressiveness of a Virtual Agent to Induce Empathy in Users},\n volume = {38},\n year = {2021}\n}\n'}","[{'authorId': '2079143895', 'name': 'Anne-Sophie Milcent'}, {'authorId': '39792357', 'name': 'Abdelmajid Kadri'}, {'authorId': '2646589', 'name': 'S. Richir'}]"
10,00e8920c490d8e23e595638eaef8aa3ec2853b1c,The Need for a Cognitive Neuroscience of Naturalistic Social Cognition,"Understanding the minds of others is one of the great challenges humans face. Accordingly, much work in cognitive neuroscience has explored the brain systems engaged when perceivers share and make inferences about the internal states of social targets. These studies, however, typically use divergent and highly simplified stimuli and methods and as a consequence have produced largely non‐overlapping sets of results and artificially constrained theories about the processes involved in perceivers’ abilities to understand targets. Here we suggest that these difficulties may stem from two main sources: the lack of meaningful behavioral data about the brain bases of perceivers’ accuracy in inferring target states and qualitative differences between the social stimuli used in neuroimaging paradigms and the social information perceivers encounter in the real world. We advocate more focus on studies of naturalistic social cognition, which could overcome these limitations and complement current approaches, and discuss work in our laboratory that has demonstrated the feasibility and utility of such a focus. Finally, we discuss the relevance of naturalistic social cognition to diagnosing and treating autism spectrum disorder. Overall, using naturalistic paradigms in neuroimaging will be critical to modeling the way the brain actually understands other minds.",2009.0,98.0,197.0,"{'volume': '1167', 'name': 'Annals of the New York Academy of Sciences'}","{'bibtex': '@Article{Zaki2009TheNF,\n author = {Jamil Zaki and K. Ochsner},\n journal = {Annals of the New York Academy of Sciences},\n title = {The Need for a Cognitive Neuroscience of Naturalistic Social Cognition},\n volume = {1167},\n year = {2009}\n}\n'}","[{'authorId': '2268731', 'name': 'Jamil Zaki'}, {'authorId': '2669604', 'name': 'K. Ochsner'}]"
