,paperId,title,abstract,year,referenceCount,citationCount,isOpenAccess,openAccessPdf,journal,citationStyles,authors
0,00398dcea6a23be322066a48317edf74a9a816fd,Modulation of emotion by cognition and cognition by emotion,,2007.0,48.0,384.0,True,"{'url': 'https://europepmc.org/articles/pmc1862681?pdf=render', 'status': None}","{'volume': '35', 'pages': '430-440', 'name': 'NeuroImage'}","{'bibtex': '@Article{Blair2007ModulationOE,\n author = {Karina Blair and Bruce W. Smith and Derek G.V. Mitchell and John J. L. Morton and M. Vythilingam and Luiz Pessoa and Daniel J. Fridberg and Alan J. Zametkin and E. Nelson and Wayne C. Drevets and Daniel S. Pine and Alex Martin and R. Blair},\n journal = {NeuroImage},\n pages = {430-440},\n title = {Modulation of emotion by cognition and cognition by emotion},\n volume = {35},\n year = {2007}\n}\n'}","[{'authorId': '2248388724', 'name': 'Karina Blair'}, {'authorId': '2249063022', 'name': 'Bruce W. Smith'}, {'authorId': '2245628705', 'name': 'Derek G.V. Mitchell'}, {'authorId': '2237561890', 'name': 'John J. L. Morton'}, {'authorId': '2532122', 'name': 'M. Vythilingam'}, {'authorId': '2248384945', 'name': 'Luiz Pessoa'}, {'authorId': '2248384108', 'name': 'Daniel J. Fridberg'}, {'authorId': '2245353586', 'name': 'Alan J. Zametkin'}, {'authorId': '2149913124', 'name': 'E. Nelson'}, {'authorId': '2248385032', 'name': 'Wayne C. Drevets'}, {'authorId': '2242549569', 'name': 'Daniel S. Pine'}, {'authorId': '2249076797', 'name': 'Alex Martin'}, {'authorId': '2237561509', 'name': 'R. Blair'}]"
1,00513dcc609dc4bc4de8cf84970d6f75ac500440,"A Virtual Midas Touch? Touch, Compliance, and Confederate Bias in Mediated Communication",,2014.0,35.0,52.0,False,,"{'volume': '38', 'pages': '301-311', 'name': 'Journal of Nonverbal Behavior'}","{'bibtex': '@Article{Haans2014AVM,\n author = {A. Haans and R. D. Bruijn and W. IJsselsteijn},\n journal = {Journal of Nonverbal Behavior},\n pages = {301-311},\n title = {A Virtual Midas Touch? Touch, Compliance, and Confederate Bias in Mediated Communication},\n volume = {38},\n year = {2014}\n}\n'}","[{'authorId': '2366343', 'name': 'A. Haans'}, {'authorId': '134625213', 'name': 'R. D. Bruijn'}, {'authorId': '30175887', 'name': 'W. IJsselsteijn'}]"
2,0059dab998f4e1bb35c1ff609e90533aae104b24,A Survey of Exact Inference for Contingency Tables,"The past decade has seen substantial research on exact infer- ence for contingency tables, both in terms of developing new analyses and developing efficient algorithms for computations. Coupled with concomitant improvements in computer power, this research has re- sulted in a greater variety of exact procedures becoming feasible for practical use and a considerable increase in the size of data sets to which the procedures can be applied. For some basic analyses of contin- gency tables, it is unnecessary to use large-sample approximations to sampling distributions when their adequacy is in doubt. This article surveys the current theoretical and computational developments of exact methods for contingency tables. Primary attention is given to the exact conditional approach, which eliminates nuisance parameters by conditioning on their sufficient statistics. The presentation of various exact inferences is unified by expressing them in terms of parameters and their sufficient statistics in loglinear models. Exact approaches for many inferences are not yet addressed in the literature, particularly for multidimensional contingency tables, and this article also suggests additional research for the next decade that would make exact methods yet more widely applicable.",1992.0,162.0,1178.0,True,"{'url': 'https://projecteuclid.org/journals/statistical-science/volume-7/issue-1/A-Survey-of-Exact-Inference-for-Contingency-Tables/10.1214/ss/1177011454.pdf', 'status': None}","{'volume': '7', 'pages': '131-153', 'name': 'Statistical Science'}","{'bibtex': '@Article{Agresti1992ASO,\n author = {A. Agresti},\n journal = {Statistical Science},\n pages = {131-153},\n title = {A Survey of Exact Inference for Contingency Tables},\n volume = {7},\n year = {1992}\n}\n'}","[{'authorId': '2817272', 'name': 'A. Agresti'}]"
3,0063c26356c2a10b1f796e438a23e625e84f0f67,The Design and Impact of the Pedagogical Agent: A Systematic Literature Review,"A pedagogical agent is an anthropomorphic virtual character used in an online learning environment to serve instructional purposes. The design of pedagogical agents changes over time depending on the desired objectives for them. This article is a systematic review of the research from 2007 to 2017 related to the design factors of pedagogical agents and their impact on learning environments. The objective of this review is to identify and analyze pedagogical agents through the context in which they are constructed, the independent variables used in pedagogical agent research, and the impact of the pedagogical agent implementation. The review found that research on the design of pedagogical agents has different forms, namely text, voice, 2-D character, 3-D character, and human. The independent variables used in the studies are categorized into the appearance of agents and the role of agents. Moreover, the combination of pedagogical agent designs and role designs of pedagogical agents has significant positive impacts on student learning and student behavior. Recommendations are also provided at the end of this review.",2019.0,88.0,68.0,True,,{'name': 'The Journal of Educators Online'},"{'bibtex': '@Article{Martha2019TheDA,\n author = {Ati Suci Dian Martha and H. Santoso},\n journal = {The Journal of Educators Online},\n title = {The Design and Impact of the Pedagogical Agent: A Systematic Literature Review},\n year = {2019}\n}\n'}","[{'authorId': '30787277', 'name': 'Ati Suci Dian Martha'}, {'authorId': '1856399', 'name': 'H. Santoso'}]"
4,006fdeff6e1a81c404317ee4056d6cc72f9c0e50,Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph,"Analyzing human multimodal language is an emerging area of research in NLP. Intrinsically this language is multimodal (heterogeneous), sequential and asynchronous; it consists of the language (words), visual (expressions) and acoustic (paralinguistic) modalities all in the form of asynchronous coordinated sequences. From a resource perspective, there is a genuine need for large scale datasets that allow for in-depth studies of this form of language. In this paper we introduce CMU Multimodal Opinion Sentiment and Emotion Intensity (CMU-MOSEI), the largest dataset of sentiment analysis and emotion recognition to date. Using data from CMU-MOSEI and a novel multimodal fusion technique called the Dynamic Fusion Graph (DFG), we conduct experimentation to exploit how modalities interact with each other in human multimodal language. Unlike previously proposed fusion techniques, DFG is highly interpretable and achieves competative performance when compared to the previous state of the art.",2018.0,64.0,586.0,True,"{'url': 'https://www.aclweb.org/anthology/P18-1208.pdf', 'status': None}",{'pages': '2236-2246'},"{'bibtex': '@Inproceedings{Zadeh2018MultimodalLA,\n author = {Amir Zadeh and P. Liang and Soujanya Poria and E. Cambria and Louis-Philippe Morency},\n pages = {2236-2246},\n title = {Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph},\n year = {2018}\n}\n'}","[{'authorId': '144802290', 'name': 'Amir Zadeh'}, {'authorId': '28130078', 'name': 'P. Liang'}, {'authorId': '1746416', 'name': 'Soujanya Poria'}, {'authorId': '49943757', 'name': 'E. Cambria'}, {'authorId': '49933077', 'name': 'Louis-Philippe Morency'}]"
6,008e10883a7e9914bb02f71ed62b41329378f8ae,Emotion and Time Perception: Effects of Film-Induced Mood,"Previous research into emotion and time perception has been designed to study the time perception of emotional events themselves (e.g., facial expression). Our aim was to investigate the effect of emotions per se on the subsequent time judgment of a neutral, non-affective event. In the present study, the participants were presented with films inducing a specific mood and were subsequently given a temporal bisection task. More precisely, the participants were given two temporal bisection tasks, one before and the other after viewing the emotional film. Three emotional films were tested: one eliciting fear, another sadness, and a neutral control film. In addition, the direct mood experience was assessed using the Brief Mood Introspective Scale that was administered to the participants at the beginning and the end of the session. The results showed that the perception of time did not change after viewing either the neutral control films or the sad films although the participants reported being sadder and less aroused after than before watching the sad film clips. In contrast, the stimulus durations were judged longer after than before viewing the frightening films that were judged to increase the emotion of fear and arousal level. In combination with findings from previous studies, our data suggest that the selective lengthening effect after watching frightening films was mediated by an effect of arousal on the speed of the internal clock system.",2011.0,68.0,139.0,True,"{'url': 'https://www.frontiersin.org/articles/10.3389/fnint.2011.00033/pdf', 'status': None}","{'volume': '5', 'name': 'Frontiers in Integrative Neuroscience'}","{'bibtex': '@Article{Droit-Volet2011EmotionAT,\n author = {S. Droit-Volet and Sophie L. Fayolle and S. Gil},\n journal = {Frontiers in Integrative Neuroscience},\n title = {Emotion and Time Perception: Effects of Film-Induced Mood},\n volume = {5},\n year = {2011}\n}\n'}","[{'authorId': '1398007844', 'name': 'S. Droit-Volet'}, {'authorId': '4772400', 'name': 'Sophie L. Fayolle'}, {'authorId': '40422171', 'name': 'S. Gil'}]"
7,00c17b14a9618544af90e2089e831ebefbc864b1,MARC: a framework that features emotion models for facial animation during human–computer interaction,,2013.0,49.0,35.0,False,,"{'volume': '7', 'pages': '311-319', 'name': 'Journal on Multimodal User Interfaces'}","{'bibtex': '@Article{Courgeon2013MARCAF,\n author = {M. Courgeon and C. Clavel},\n journal = {Journal on Multimodal User Interfaces},\n pages = {311-319},\n title = {MARC: a framework that features emotion models for facial animation during human–computer interaction},\n volume = {7},\n year = {2013}\n}\n'}","[{'authorId': '3237926', 'name': 'M. Courgeon'}, {'authorId': '1724799', 'name': 'C. Clavel'}]"
8,00d3d6a56a1d989da8235019903e0415fd158771,Toward a General Theory of Acting: Cognitive Science and Performance,,2011.0,0.0,59.0,False,,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Lutterbie2011TowardAG,\n author = {J. Lutterbie},\n title = {Toward a General Theory of Acting: Cognitive Science and Performance},\n year = {2011}\n}\n'}","[{'authorId': '73507079', 'name': 'J. Lutterbie'}]"
9,00ee7355bd289a0e70e5090e0b31b685bb39d695,Visual/Acoustic Emotion Recognition,"To recognize and understand a person's emotion has been known as one of the most important issue in human-computer interaction. In this paper, we present a multimodal system that supports emotion recognition from both visual and acoustic feature analysis. Our main achievement is that with this bimodal method, we can effectively extend the recognized emotion categories compared to when only visual or acoustic feature analysis works alone. We also show that by carefully cooperating bimodal features, the recognition precision of each emotion category will exceed the limit set up by the single modality, both visual and acoustic. Moreover, we believe our system is closer to real human perception and experience and hence will make emotion recognition closer to practical application in the future",2005.0,11.0,32.0,False,,"{'pages': '1468-1471', 'name': '2005 IEEE International Conference on Multimedia and Expo'}","{'bibtex': '@Article{Chen2005VisualAcousticER,\n author = {Cheng-Yao Chen and Yue Huang and P. Cook},\n journal = {2005 IEEE International Conference on Multimedia and Expo},\n pages = {1468-1471},\n title = {Visual/Acoustic Emotion Recognition},\n year = {2005}\n}\n'}","[{'authorId': '3288141', 'name': 'Cheng-Yao Chen'}, {'authorId': '2108715669', 'name': 'Yue Huang'}, {'authorId': '1716507', 'name': 'P. Cook'}]"
10,00fa43776e890fbef5e1074b0b22e14b3b608e1d,Why and How to Build Emotion-Based Agent Architectures,,2015.0,0.0,12.0,False,,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Lisetti2015WhyAH,\n author = {Christine L. Lisetti and E. Hudlicka},\n title = {Why and How to Build Emotion-Based Agent Architectures},\n year = {2015}\n}\n'}","[{'authorId': '143607713', 'name': 'Christine L. Lisetti'}, {'authorId': '2348728', 'name': 'E. Hudlicka'}]"
